Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-02-24,Psycho,1960,https://boxd.it/2BN5cN,,,,2021-10-14
2022-02-24,Vertigo,1958,https://boxd.it/2BN5rD,,,,2021-10-15
2022-02-24,Rear Window,1954,https://boxd.it/2BN5RL,,,,2021-10-17
2022-02-24,Dune,2021,https://boxd.it/2BN4lz,,,,2021-10-21
2022-02-24,North by Northwest,1959,https://boxd.it/2BN633,,,,2021-10-21
2022-02-24,The House of the Devil,2009,https://boxd.it/2BN3QB,,,,2021-10-29
2022-02-24,Rosemary's Baby,1968,https://boxd.it/2BN1Zr,,,,2021-11-21
2022-02-24,The Hateful Eight,2015,https://boxd.it/2BN1Cd,,,,2021-12-24
2022-02-24,Pig,2021,https://boxd.it/2BN12p,,,,2021-12-31
2022-02-24,The Elephant Man,1980,https://boxd.it/2BMWYj,,,,2022-01-21
2022-02-24,The Terminator,1984,https://boxd.it/2BMXy7,,Yes,,2022-01-22
2022-02-24,Nightmare Alley,2021,https://boxd.it/2BMVqF,,,,2022-02-03
2022-02-24,Terminator 2: Judgment Day,1991,https://boxd.it/2BMXL1,,Yes,,2022-02-04
2022-02-24,Annihilation,2018,https://boxd.it/2BMZfr,,,,2022-02-12
2022-02-24,Sunshine,2007,https://boxd.it/2BMY9n,,,,2022-02-17
2022-02-24,28 Days Later,2002,https://boxd.it/2BMZBR,,,,2022-02-18
2022-02-24,Arrival,2016,https://boxd.it/2BMV2j,,,,2022-02-19
2022-02-26,Charlie Wilson's War,2007,https://boxd.it/2C4PoT,,,,2022-02-24
2022-03-07,Face/Off,1997,https://boxd.it/2DGF9z,,,,2022-03-05
2022-03-12,Scarface,1983,https://boxd.it/2ExyQd,,Yes,,2022-03-10
2022-03-13,Source Code,2011,https://boxd.it/2EUItT,,Yes,,2022-03-12
2022-03-19,Dunkirk,2017,https://boxd.it/2G1qmN,,,,2022-03-19
2022-03-21,Chinatown,1974,https://boxd.it/2GjAhJ,,,,2022-03-20
2022-03-25,Oldboy,2003,https://boxd.it/2Ha1qR,,,,2022-03-25
2022-03-26,The Deer Hunter,1978,https://boxd.it/2Hls0N,,,,2022-03-26
2022-03-28,Stalker,1979,https://boxd.it/2HD1bb,,,,2022-03-27
2022-04-01,No Country for Old Men,2007,https://boxd.it/2Ioz01,,,,2022-04-01
2022-04-09,Miller's Crossing,1990,https://boxd.it/2JHTTH,,,,2022-04-07
2022-04-18,True Romance,1993,https://boxd.it/2Ln3r5,,,,2022-04-16
2022-04-23,Häxan,1922,https://boxd.it/2MiNvL,,,,2022-04-21
2022-04-23,Diamonds Are Forever,1971,https://boxd.it/2Mn5Lv,,Yes,,2022-04-22
2022-04-30,The Driver,1978,https://boxd.it/2NsEkt,,,,2022-04-28
2022-05-02,The Dead Zone,1983,https://boxd.it/2NQgI5,,,,2022-04-30
2022-05-09,Beyond the Black Rainbow,2010,https://boxd.it/2P8iYT,,,,2022-05-08
2022-05-13,Under the Skin,2013,https://boxd.it/2PSzkX,,,,2022-05-12
2022-05-15,Office Space,1999,https://boxd.it/2Q6Coh,,Yes,,2022-05-13
2022-05-15,The Northman,2022,https://boxd.it/2QeV0p,,,,2022-05-14
2022-05-22,The Thing,1982,https://boxd.it/2RwroV,,,,2022-05-21
2022-05-30,Thief,1981,https://boxd.it/2SQ0mR,,,,2022-05-28
2022-06-03,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/2TCLFx,,,,2022-06-02
2022-06-06,Scanners,1981,https://boxd.it/2U3Ydl,,,,2022-06-04
2022-06-07,The Wicker Man,1973,https://boxd.it/2Ugz4J,,,,2022-06-05
2022-06-08,The Royal Tenenbaums,2001,https://boxd.it/2UrY97,,,,2022-06-06
2022-06-08,The Fifth Element,1997,https://boxd.it/2Uyr2h,,,,2022-06-07
2022-06-09,Fast Times at Ridgemont High,1982,https://boxd.it/2UItX5,,Yes,,2022-06-08
2022-06-11,The Grand Budapest Hotel,2014,https://boxd.it/2V2gpz,,,,2022-06-10
2022-06-13,Alien,1979,https://boxd.it/2VrvjB,,Yes,,2022-06-11
2022-06-15,They Live,1988,https://boxd.it/2VHwll,,,,2022-06-13
2022-06-15,Burn After Reading,2008,https://boxd.it/2VNm0z,,,,2022-06-14
2022-06-17,Everything Everywhere All at Once,2022,https://boxd.it/2W1Mpj,,,,2022-06-15
2022-06-18,The Unbearable Weight of Massive Talent,2022,https://boxd.it/2WbwOR,,,,2022-06-16
2022-06-18,Moonrise Kingdom,2012,https://boxd.it/2WiRHL,,,,2022-06-17
2022-06-20,Aliens,1986,https://boxd.it/2WGLzz,,,,2022-06-18
2022-06-25,Crimes of the Future,2022,https://boxd.it/2Xy3pN,,,,2022-06-23
2022-06-27,The Science of Sleep,2006,https://boxd.it/2Y2cfd,,,,2022-06-25
2022-07-03,Ready Player One,2018,https://boxd.it/2Z0z0l,,,,2022-07-01
